IWA Element ID,IWA Element Name,GWA Element ID,GWA Element Name,careers,w
4.A.3.b.4.a,Maintain facilities or equipment.,4.A.3.b.4,Repairing and Maintaining Mechanical Equipment,8,37.3
4.A.2.a.3.b,Assess compliance with environmental standards or regulations.,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards,8,40.47
4.A.3.b.2.b,Design structures or facilities.,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",8,38.49
4.A.2.a.1.h,Evaluate scholarly work.,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",8,26.35
4.A.1.a.1.v,Investigate organizational or operational problems.,4.A.1.a.1,Getting Information,7,39.47
4.A.1.a.1.c,Investigate criminal or legal matters.,4.A.1.a.1,Getting Information,7,69.23
4.A.1.a.1.f,Gather data about operational or development activities.,4.A.1.a.1,Getting Information,7,29.37
4.A.2.a.1.j,Evaluate project feasibility.,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",7,30.66
4.A.2.b.1.k,Alter audio or video recordings.,4.A.2.b.1,Making Decisions and Solving Problems,7,77.99
4.A.2.a.4.i,Assess characteristics or impacts of regulations or policies.,4.A.2.a.4,Analyzing Data or Information,7,42.01
4.A.3.a.1.m,Transport patients or clients.,4.A.3.a.1,Performing General Physical Activities,7,29.53
4.A.4.b.6.i,Advise others on workplace health or safety issues.,4.A.4.b.6,Providing Consultation and Advice to Others,6,36.519999999999996
4.A.3.b.1.e,Operate computer systems or computerized equipment.,4.A.3.b.1,Working with Computers,6,23.06
4.A.3.b.5.b,Repair electrical or electronic equipment.,4.A.3.b.5,Repairing and Maintaining Electronic Equipment,6,27.08
4.A.3.a.2.aq,Install plumbing or piping equipment or systems.,4.A.3.a.2,Handling and Moving Objects,6,40.06
4.A.2.b.2.q,Develop sustainable organizational or business policies or practices.,4.A.2.b.2,Thinking Creatively,6,29.25
4.A.2.b.2.h,Develop financial or business plans.,4.A.2.b.2,Thinking Creatively,6,38.4
4.A.4.a.5.f,Fit assistive devices to patients or clients.,4.A.4.a.5,Assisting and Caring for Others,5,24.64
4.A.3.a.2.am,Apply materials to fill gaps or imperfections.,4.A.3.a.2,Handling and Moving Objects,5,18.189999999999998
4.A.3.b.6.e,Record images with photographic or audiovisual equipment.,4.A.3.b.6,Documenting/Recording Information,5,17.95
4.A.2.a.4.a,Analyze environmental or geospatial data.,4.A.2.a.4,Analyzing Data or Information,5,64.68
4.A.2.b.2.i,Develop health assessment methods or programs.,4.A.2.b.2,Thinking Creatively,5,19.27
4.A.1.b.2.b,Evaluate green technologies or processes.,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",5,37.6
4.A.1.a.2.g,"Monitor safety or security of work areas, facilities, or properties.",4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",4,15.96
4.A.2.b.2.m,Develop systems or practices to mitigate or resolve environmental problems.,4.A.2.b.2,Thinking Creatively,4,23.810000000000002
4.A.2.b.2.u,Develop scientific or mathematical theories or models.,4.A.2.b.2,Thinking Creatively,4,20.1
4.A.3.a.2.c,Prepare foods or beverages.,4.A.3.a.2,Handling and Moving Objects,4,107.92
4.A.4.b.6.j,Counsel others about personal matters.,4.A.4.b.6,Providing Consultation and Advice to Others,4,17.43
4.A.3.a.1.l,Escort others.,4.A.3.a.1,Performing General Physical Activities,4,30.0
4.A.2.a.1.a,"Assess living, work, or social needs or status of individuals or communities.",4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",4,16.96
4.A.1.a.1.i,"Research organizational behavior, processes, or performance.",4.A.1.a.1,Getting Information,3,10.48
4.A.1.a.1.p,Research biological or ecological phenomena.,4.A.1.a.1,Getting Information,3,13.07
4.A.4.a.5.d,Care for plants or animals.,4.A.4.a.5,Assisting and Caring for Others,3,11.43
4.A.3.a.2.y,Engrave objects.,4.A.3.a.2,Handling and Moving Objects,3,12.16
4.A.4.a.1.c,"Interpret language, cultural, or religious information for others.",4.A.4.a.1,Interpreting the Meaning of Information for Others,3,36.86
4.A.1.b.3.e,Take physical measurements of patients or clients.,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information",3,17.38
4.A.2.a.2.d,Reconcile financial data.,4.A.2.a.2,Processing Information,3,31.509999999999998
4.A.1.b.2.k,Test sites or materials for environmental hazards.,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",3,13.42
4.A.3.a.1.n,Climb equipment or structures.,4.A.3.a.1,Performing General Physical Activities,3,12.59
4.A.1.a.1.g,Obtain information about goods or services.,4.A.1.a.1,Getting Information,3,19.3
4.A.3.a.2.as,Apply decorative finishes.,4.A.3.a.2,Handling and Moving Objects,3,16.619999999999997
4.A.4.b.6.c,Advise others on environmental sustainability or green practices.,4.A.4.b.6,Providing Consultation and Advice to Others,3,18.42
4.A.1.a.1.h,Research issues related to earth sciences.,4.A.1.a.1,Getting Information,2,18.45
4.A.4.b.4.f,Manage human resources activities.,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates",2,7.19
4.A.3.a.1.d,Set up protective structures or coverings near work areas.,4.A.3.a.1,Performing General Physical Activities,2,11.89
4.A.3.b.6.b,Record information about legal matters.,4.A.3.b.6,Documenting/Recording Information,2,8.969999999999999
4.A.4.a.5.e,Intervene in crisis situations or emergencies.,4.A.4.a.5,Assisting and Caring for Others,2,7.34
4.A.3.a.2.p,Install energy or heating equipment.,4.A.3.a.2,Handling and Moving Objects,2,51.29
4.A.2.b.2.d,Develop recipes or menus.,4.A.2.b.2,Thinking Creatively,2,10.91
4.A.4.a.5.h,Assist individuals with paperwork.,4.A.4.a.5,Assisting and Caring for Others,2,12.04
4.A.1.a.2.i,Monitor environmental conditions.,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",2,10.98
4.A.1.a.1.k,Gather information for news stories.,4.A.1.a.1,Getting Information,2,36.84
4.A.4.c.2.b,Perform human resources activities.,4.A.4.c.2,Staffing Organizational Units,2,7.38
4.A.1.a.1.u,Investigate incidents or accidents.,4.A.1.a.1,Getting Information,2,7.390000000000001
4.A.3.a.2.ac,Process animal carcasses.,4.A.3.a.2,Handling and Moving Objects,2,64.56
4.A.4.b.5.a,Coach others.,4.A.4.b.5,Coaching and Developing Others,2,8.52
4.A.3.a.1.p,"Perform athletic activities for fitness, competition, or artistic purposes.",4.A.3.a.1,Performing General Physical Activities,2,8.14
4.A.4.b.3.c,Teach safety procedures or standards to others.,4.A.4.b.3,Training and Teaching Others,2,7.83
4.A.2.b.2.g,Develop plans for managing or preserving natural resources.,4.A.2.b.2,Thinking Creatively,1,3.42
4.A.2.b.5.a,Prepare schedules for services or facilities.,4.A.2.b.5,Scheduling Work and Activities,1,3.5
4.A.3.a.1.b,Protect people or property from threats such as fires or flooding.,4.A.3.a.1,Performing General Physical Activities,1,3.71
4.A.1.a.1.e,Consult legal materials or public records.,4.A.1.a.1,Getting Information,1,3.0
4.A.4.c.1.d,Issue documentation.,4.A.4.c.1,Performing Administrative Activities,1,3.75
4.A.4.a.6.a,Advocate for individual or community needs.,4.A.4.a.6,Selling or Influencing Others,1,4.0
4.A.4.a.7.a,Mediate disputes.,4.A.4.a.7,Resolving Conflicts and Negotiating with Others,1,3.79
4.A.4.a.2.a,Communicate environmental or sustainability information.,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates",1,4.06
4.A.3.a.3.a,Operate office equipment.,4.A.3.a.3,Controlling Machines and Processes,1,3.91
4.A.3.a.2.ae,Groom or style hair.,4.A.3.a.2,Handling and Moving Objects,1,3.0
4.A.3.a.1.q,Perform agricultural activities.,4.A.3.a.1,Performing General Physical Activities,1,4.4
4.A.4.b.4.k,Direct security or safety activities or operations.,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates",1,18.78
4.A.3.a.2.u,Apply hygienic or cosmetic agents to skin or hair.,4.A.3.a.2,Handling and Moving Objects,1,31.47
4.A.4.b.4.l,Direct legal activities.,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates",1,4.56
4.A.1.a.1.r,Research historical or social issues.,4.A.1.a.1,Getting Information,1,4.35
