soc_code,title,r,i,a,s,e,c,r_pct,i_pct,a_pct,s_pct,e_pct,c_pct,holland_code
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",4.60,1.54,1.00,1.83,1.66,5.91,27.81,9.31,6.05,11.06,10.04,35.73,CRS
43-5061.00,"Production, Planning, and Expediting Clerks",3.12,1.20,1.14,2.11,4.91,5.92,16.96,6.52,6.20,11.47,26.68,32.17,CER
43-5071.00,"Shipping, Receiving, and Inventory Clerks",3.98,1.24,1.00,1.37,3.11,7.00,22.49,7.01,5.65,7.74,17.57,39.55,CRE
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",5.31,2.37,1.00,1.00,1.76,6.37,29.81,13.31,5.61,5.61,9.88,35.77,CRI
43-6011.00,Executive Secretaries and Executive Administrative Assistants,1.32,1.94,1.35,3.94,5.51,6.41,6.45,9.48,6.60,19.25,26.92,31.31,CES
43-6012.00,Legal Secretaries and Administrative Assistants,1.41,2.91,1.55,3.17,4.42,6.69,7.00,14.44,7.69,15.73,21.94,33.20,CES
43-6013.00,Medical Secretaries and Administrative Assistants,2.29,3.02,1.00,4.13,3.17,6.67,11.29,14.89,4.93,20.36,15.63,32.89,CSE
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1.98,1.37,1.00,3.61,4.18,6.95,10.37,7.18,5.24,18.91,21.90,36.41,CES
43-9021.00,Data Entry Keyers,3.05,2.31,1.00,1.19,1.67,7.00,18.80,14.24,6.17,7.34,10.30,43.16,CRI
43-9022.00,Word Processors and Typists,2.87,1.94,2.26,2.23,1.86,6.59,16.17,10.93,12.73,12.56,10.48,37.13,CRA
43-9031.00,Desktop Publishers,3.38,2.84,4.24,1.69,1.71,5.70,17.28,14.52,21.68,8.64,8.74,29.14,CAR
43-9041.00,Insurance Claims and Policy Processing Clerks,1.24,2.43,1.00,2.56,3.86,7.00,6.85,13.43,5.53,14.15,21.34,38.70,CES
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",4.01,1.00,1.00,2.01,2.14,6.46,24.13,6.02,6.02,12.09,12.88,38.87,CRE
43-9061.00,"Office Clerks, General",2.92,1.85,1.00,3.06,3.20,6.84,15.47,9.80,5.30,16.22,16.96,36.25,CES
43-9071.00,"Office Machine Operators, Except Computer",4.55,2.13,1.16,1.68,2.06,6.57,25.07,11.74,6.39,9.26,11.35,36.20,CRI
43-9081.00,Proofreaders and Copy Markers,1.44,2.50,3.56,2.20,1.53,6.16,8.28,14.38,20.47,12.65,8.80,35.42,CAI
43-9111.00,Statistical Assistants,2.37,4.48,1.00,1.40,1.74,7.00,13.17,24.90,5.56,7.78,9.67,38.91,CIR
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",5.53,2.23,1.00,2.89,6.01,4.66,24.78,9.99,4.48,12.95,26.93,20.88,ERC
45-2011.00,Agricultural Inspectors,5.35,4.04,1.00,1.89,3.12,5.17,26.01,19.64,4.86,9.19,15.17,25.13,RCI
45-2021.00,Animal Breeders,6.36,3.40,1.45,2.38,2.00,3.58,33.18,17.74,7.56,12.42,10.43,18.68,RCI
45-2041.00,"Graders and Sorters, Agricultural Products",5.64,2.48,1.67,1.50,2.16,5.00,30.57,13.44,9.05,8.13,11.71,27.10,RCI
45-2091.00,Agricultural Equipment Operators,7.00,2.50,1.00,1.00,1.34,3.67,42.40,15.14,6.06,6.06,8.12,22.23,RCI
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",7.00,2.32,1.28,1.86,2.37,3.36,38.48,12.75,7.04,10.23,13.03,18.47,RCE
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",6.78,2.66,1.42,2.50,1.92,2.95,37.19,14.59,7.79,13.71,10.53,16.18,RCI
45-3031.00,Fishing and Hunting Workers,7.00,2.27,1.06,1.03,1.99,3.29,42.07,13.64,6.37,6.19,11.96,19.77,RCI
45-4011.00,Forest and Conservation Workers,7.00,3.33,1.00,2.71,3.03,4.07,33.11,15.75,4.73,12.82,14.33,19.25,RCI
45-4021.00,Fallers,7.00,2.48,1.13,1.92,1.57,3.32,40.18,14.24,6.49,11.02,9.01,19.06,RCI
45-4022.00,Logging Equipment Operators,6.83,1.81,1.00,1.11,1.10,4.40,42.03,11.14,6.15,6.83,6.77,27.08,RCI
45-4023.00,Log Graders and Scalers,4.98,2.37,1.00,1.10,1.76,6.31,28.42,13.53,5.71,6.28,10.05,36.02,CRI
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,4.67,1.90,1.00,2.92,6.00,4.95,21.78,8.86,4.66,13.62,27.99,23.09,ECR
47-1011.03,Solar Energy Installation Managers,5.86,2.65,1.27,1.74,4.85,4.19,28.50,12.89,6.18,8.46,23.59,20.38,REC
47-2011.00,Boilermakers,7.00,2.31,1.00,1.00,1.00,3.72,43.67,14.41,6.24,6.24,6.24,23.21,RCI
47-2021.00,Brickmasons and Blockmasons,6.95,2.02,1.67,1.11,1.21,3.82,41.42,12.04,9.95,6.62,7.21,22.77,RCI
47-2022.00,Stonemasons,7.00,2.14,2.90,1.86,1.29,3.00,38.48,11.76,15.94,10.23,7.09,16.49,RCA
47-2031.00,Carpenters,6.75,1.91,2.18,1.90,1.79,3.46,37.52,10.62,12.12,10.56,9.95,19.23,RCA
47-2041.00,Carpet Installers,7.00,1.13,1.94,1.29,1.00,3.50,44.14,7.12,12.23,8.13,6.31,22.07,RCA
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",7.00,1.39,1.83,1.56,1.00,3.68,42.53,8.44,11.12,9.48,6.08,22.36,RCA
47-2043.00,Floor Sanders and Finishers,7.00,1.39,1.37,1.43,1.54,3.33,43.59,8.66,8.53,8.90,9.59,20.73,RCE
47-2044.00,Tile and Stone Setters,7.00,1.47,2.53,1.34,1.00,3.66,41.18,8.65,14.88,7.88,5.88,21.53,RCA
47-2051.00,Cement Masons and Concrete Finishers,7.00,2.29,1.66,1.00,1.00,3.27,43.16,14.12,10.23,6.17,6.17,20.16,RCI
47-2053.00,Terrazzo Workers and Finishers,7.00,1.80,1.93,1.00,1.00,3.28,43.72,11.24,12.05,6.25,6.25,20.49,RCA
47-2061.00,Construction Laborers,7.00,2.68,1.38,1.23,1.35,3.61,40.58,15.54,8.00,7.13,7.83,20.93,RCI
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",7.00,1.72,1.00,1.00,1.00,3.69,45.43,11.16,6.49,6.49,6.49,23.95,RCI
47-2072.00,Pile Driver Operators,7.00,1.94,1.00,1.02,1.15,3.61,44.53,12.34,6.36,6.49,7.32,22.96,RCI
47-2073.00,Operating Engineers and Other Construction Equipment Operators,7.00,2.93,1.00,1.14,1.26,3.88,40.67,17.02,5.81,6.62,7.32,22.55,RCI
47-2081.00,Drywall and Ceiling Tile Installers,7.00,1.96,2.30,1.18,1.00,3.14,42.22,11.82,13.87,7.12,6.03,18.94,RCA
47-2082.00,Tapers,6.49,1.64,1.73,1.45,1.08,3.44,41.00,10.36,10.93,9.16,6.82,21.73,RCA
47-2111.00,Electricians,7.00,2.70,1.24,1.32,1.81,4.09,38.55,14.87,6.83,7.27,9.97,22.52,RCI
47-2121.00,Glaziers,6.32,2.09,2.33,1.68,1.67,3.59,35.75,11.82,13.18,9.50,9.45,20.31,RCA
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",6.78,1.78,1.30,1.05,1.00,3.97,42.70,11.21,8.19,6.61,6.30,25.00,RCI
47-2132.00,"Insulation Workers, Mechanical",6.92,2.42,1.00,1.24,1.00,4.25,41.12,14.38,5.94,7.37,5.94,25.25,RCI
47-2141.00,"Painters, Construction and Maintenance",7.00,1.47,2.51,1.26,1.00,3.50,41.82,8.78,14.99,7.53,5.97,20.91,RCA
47-2142.00,Paperhangers,5.86,1.00,2.97,1.58,1.14,3.90,35.62,6.08,18.05,9.60,6.93,23.71,RCA
47-2151.00,Pipelayers,7.00,2.43,1.00,1.30,1.14,3.54,42.66,14.81,6.09,7.92,6.95,21.57,RCI
47-2152.00,"Plumbers, Pipefitters, and Steamfitters",7.00,2.20,1.00,1.16,1.00,3.72,43.53,13.68,6.22,7.21,6.22,23.13,RCI
47-2152.04,Solar Thermal Installers and Technicians,7.00,2.69,1.13,1.70,1.60,3.66,39.37,15.13,6.36,9.56,9.00,20.58,RCI
47-2161.00,Plasterers and Stucco Masons,7.00,1.56,2.56,1.38,1.05,3.30,41.54,9.26,15.19,8.19,6.23,19.58,RCA
47-2171.00,Reinforcing Iron and Rebar Workers,7.00,2.18,1.12,1.20,1.33,3.50,42.87,13.35,6.86,7.35,8.14,21.43,RCI
47-2181.00,Roofers,7.00,1.30,1.21,1.48,1.59,3.54,43.42,8.06,7.51,9.18,9.86,21.96,RCE
47-2211.00,Sheet Metal Workers,7.00,2.07,1.55,1.00,1.00,3.58,43.21,12.78,9.57,6.17,6.17,22.10,RCI
47-2221.00,Structural Iron and Steel Workers,7.00,2.79,1.41,1.17,1.24,3.73,40.37,16.09,8.13,6.75,7.15,21.51,RCI
47-2231.00,Solar Photovoltaic Installers,7.00,2.65,1.39,1.19,1.73,4.08,38.80,14.69,7.71,6.60,9.59,22.62,RCI
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",7.00,1.35,1.57,1.88,1.00,3.33,43.40,8.37,9.73,11.66,6.20,20.64,RCS
47-3012.00,Helpers--Carpenters,6.91,1.29,1.40,2.14,1.61,3.46,41.11,7.67,8.33,12.73,9.58,20.58,RCS
47-3013.00,Helpers--Electricians,7.00,2.21,1.00,2.05,1.00,3.94,40.70,12.85,5.81,11.92,5.81,22.91,RCI
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",6.52,1.11,1.78,2.43,1.36,3.47,39.11,6.66,10.68,14.58,8.16,20.82,RCS
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",6.96,1.37,1.00,1.86,1.25,3.66,43.23,8.51,6.21,11.55,7.76,22.73,RCS
47-3016.00,Helpers--Roofers,6.95,1.00,1.00,1.96,1.41,3.61,43.63,6.28,6.28,12.30,8.85,22.66,RCS
47-4011.00,Construction and Building Inspectors,6.17,4.10,1.22,1.46,2.15,5.41,30.08,19.99,5.95,7.12,10.48,26.38,RCI
47-4011.01,Energy Auditors,4.53,4.17,1.00,1.89,3.34,5.93,21.72,19.99,4.79,9.06,16.01,28.43,CRI
47-4021.00,Elevator and Escalator Installers and Repairers,7.00,2.44,1.00,1.38,1.22,3.92,41.27,14.39,5.90,8.14,7.19,23.11,RCI
47-4031.00,Fence Erectors,7.00,2.08,1.35,1.35,1.00,3.68,42.53,12.64,8.20,8.20,6.08,22.36,RCI
47-4041.00,Hazardous Materials Removal Workers,7.00,2.57,1.00,1.48,1.19,4.36,39.77,14.60,5.68,8.41,6.76,24.77,RCI
47-4051.00,Highway Maintenance Workers,7.00,1.70,1.04,1.77,1.47,3.52,42.42,10.30,6.30,10.73,8.91,21.33,RCS
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,7.00,1.70,1.00,1.00,1.00,4.11,44.28,10.75,6.33,6.33,6.33,26.00,RCI
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,7.00,2.07,1.00,1.45,1.19,4.26,41.25,12.20,5.89,8.54,7.01,25.10,RCI
47-4091.00,Segmental Pavers,6.93,1.60,1.97,1.30,1.22,3.40,42.20,9.74,12.00,7.92,7.43,20.71,RCA
47-4099.03,Weatherization Installers and Technicians,6.01,3.22,1.50,2.31,2.19,4.49,30.48,16.33,7.61,11.71,11.11,22.77,RCI
47-5011.00,"Derrick Operators, Oil and Gas",7.00,2.54,1.00,1.01,1.64,3.64,41.59,15.09,5.94,6.00,9.74,21.63,RCI
47-5012.00,"Rotary Drill Operators, Oil and Gas",7.00,3.04,1.00,1.16,2.20,3.78,38.50,16.72,5.50,6.38,12.10,20.79,RCI
47-5013.00,"Service Unit Operators, Oil and Gas",7.00,2.58,1.00,1.20,1.82,4.07,39.62,14.60,5.66,6.79,10.30,23.03,RCI
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",7.00,2.40,1.00,1.00,1.00,3.55,43.89,15.05,6.27,6.27,6.27,22.26,RCI
47-5023.00,"Earth Drillers, Except Oil and Gas",7.00,3.65,1.14,1.22,1.70,3.67,38.08,19.86,6.20,6.64,9.25,19.97,RCI
47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",6.90,3.77,1.25,1.30,1.83,4.19,35.86,19.59,6.50,6.76,9.51,21.78,RCI
47-5041.00,Continuous Mining Machine Operators,6.97,2.50,1.00,1.04,1.34,4.07,41.19,14.78,5.91,6.15,7.92,24.05,RCI
47-5043.00,"Roof Bolters, Mining",7.00,2.46,1.00,1.00,1.01,3.34,44.28,15.56,6.33,6.33,6.39,21.13,RCI
47-5044.00,"Loading and Moving Machine Operators, Underground Mining",7.00,2.15,1.00,1.00,1.00,3.70,44.16,13.56,6.31,6.31,6.31,23.34,RCI
47-5051.00,"Rock Splitters, Quarry",6.99,2.07,1.74,1.26,1.17,3.19,42.57,12.61,10.60,7.67,7.13,19.43,RCI
47-5071.00,"Roustabouts, Oil and Gas",7.00,1.79,1.00,1.00,1.00,3.29,46.42,11.87,6.63,6.63,6.63,21.82,RCI
47-5081.00,Helpers--Extraction Workers,7.00,2.14,1.00,1.79,1.58,3.69,40.70,12.44,5.81,10.41,9.19,21.45,RCI
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",4.13,1.73,1.01,3.56,5.99,4.75,19.51,8.17,4.77,16.82,28.29,22.44,ECR
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",5.83,2.65,1.00,1.75,1.79,5.50,31.48,14.31,5.40,9.45,9.67,29.70,RCI
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",6.73,3.48,1.05,1.37,1.36,4.53,36.34,18.79,5.67,7.40,7.34,24.46,RCI
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",6.43,2.42,1.00,1.81,1.60,4.83,35.54,13.38,5.53,10.01,8.84,26.70,RCI
49-2091.00,Avionics Technicians,7.00,4.31,1.16,1.38,1.06,4.41,36.23,22.31,6.00,7.14,5.49,22.83,RCI
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",7.00,2.73,1.00,1.19,1.01,4.25,40.75,15.89,5.82,6.93,5.88,24.74,RCI
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",7.00,3.38,1.00,1.15,1.02,4.83,38.08,18.39,5.44,6.26,5.55,26.28,RCI
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",7.00,3.84,1.00,1.00,1.44,5.27,35.81,19.64,5.12,5.12,7.37,26.96,RCI
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",7.00,3.52,1.00,1.07,1.30,5.27,36.53,18.37,5.22,5.58,6.78,27.51,RCI
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",7.00,3.44,1.00,1.30,1.00,4.33,38.74,19.04,5.53,7.19,5.53,23.96,RCI
49-2097.00,Audiovisual Equipment Installers and Repairers,6.85,2.62,1.66,1.64,1.12,4.61,37.03,14.16,8.97,8.86,6.05,24.92,RCI
49-2098.00,Security and Fire Alarm Systems Installers,6.67,3.35,1.00,1.37,1.58,4.94,35.27,17.72,5.29,7.24,8.36,26.12,RCI
49-3011.00,Aircraft Mechanics and Service Technicians,6.70,3.81,1.00,1.31,1.84,4.70,34.61,19.68,5.17,6.77,9.50,24.28,RCI
49-3021.00,Automotive Body and Related Repairers,7.00,1.60,1.43,1.06,1.45,3.34,44.08,10.08,9.01,6.68,9.13,21.03,RCI
49-3022.00,Automotive Glass Installers and Repairers,7.00,2.24,1.00,1.28,1.39,3.70,42.14,13.49,6.02,7.71,8.37,22.28,RCI
49-3023.00,Automotive Service Technicians and Mechanics,7.00,3.58,1.00,1.45,1.60,4.31,36.96,18.90,5.28,7.66,8.45,22.76,RCI
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,7.00,3.27,1.00,1.54,1.29,3.73,39.26,18.34,5.61,8.64,7.23,20.92,RCI
49-3041.00,Farm Equipment Mechanics and Service Technicians,7.00,3.02,1.00,1.30,1.08,4.30,39.55,17.06,5.65,7.34,6.10,24.29,RCI
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",7.00,3.54,1.00,1.00,1.00,4.35,39.13,19.79,5.59,5.59,5.59,24.32,RCI
49-3043.00,Rail Car Repairers,7.00,2.77,1.21,1.48,1.16,3.87,40.02,15.84,6.92,8.46,6.63,22.13,RCI
49-3051.00,Motorboat Mechanics and Service Technicians,7.00,2.86,1.00,1.01,1.61,3.88,40.32,16.47,5.76,5.82,9.27,22.35,RCI
49-3052.00,Motorcycle Mechanics,7.00,3.12,1.23,1.44,1.00,3.64,40.16,17.90,7.06,8.26,5.74,20.88,RCI
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,7.00,2.48,1.00,1.20,1.26,3.97,41.40,14.67,5.91,7.10,7.45,23.48,RCI
49-3091.00,Bicycle Repairers,7.00,1.82,1.17,1.62,1.49,3.34,42.58,11.07,7.12,9.85,9.06,20.32,RCI
49-3092.00,Recreational Vehicle Service Technicians,7.00,2.61,1.00,1.57,1.24,4.12,39.91,14.88,5.70,8.95,7.07,23.49,RCI
49-3093.00,Tire Repairers and Changers,7.00,1.80,1.00,1.79,1.58,3.41,42.22,10.86,6.03,10.80,9.53,20.57,RCI
49-9011.00,Mechanical Door Repairers,6.87,1.78,1.00,1.46,1.00,3.96,42.75,11.08,6.22,9.09,6.22,24.64,RCI
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",7.00,2.85,1.00,1.20,1.00,4.51,39.86,16.23,5.69,6.83,5.69,25.68,RCI
49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",6.96,2.82,1.04,1.47,1.20,4.29,39.15,15.86,5.85,8.27,6.75,24.13,RCI
49-9031.00,Home Appliance Repairers,7.00,2.33,1.16,1.63,1.36,4.84,38.21,12.72,6.33,8.90,7.42,26.42,RCI
49-9041.00,Industrial Machinery Mechanics,7.00,3.01,1.01,1.00,1.17,4.33,39.95,17.18,5.76,5.71,6.68,24.71,RCI
49-9043.00,"Maintenance Workers, Machinery",7.00,2.04,1.00,1.00,1.20,4.25,42.45,12.37,6.06,6.06,7.28,25.77,RCI
49-9044.00,Millwrights,7.00,2.68,1.59,1.00,1.09,3.63,41.20,15.77,9.36,5.89,6.42,21.37,RCI
49-9045.00,"Refractory Materials Repairers, Except Brickmasons",7.00,2.20,1.31,1.02,1.00,3.55,43.53,13.68,8.15,6.34,6.22,22.08,RCI
49-9051.00,Electrical Power-Line Installers and Repairers,7.00,2.66,1.00,1.28,1.78,3.80,39.95,15.18,5.71,7.31,10.16,21.69,RCI
49-9052.00,Telecommunications Line Installers and Repairers,6.48,2.49,1.00,1.58,2.01,4.17,36.55,14.04,5.64,8.91,11.34,23.52,RCI
49-9061.00,Camera and Photographic Equipment Repairers,6.93,2.66,1.93,1.19,1.00,4.83,37.38,14.35,10.41,6.42,5.39,26.05,RCI
49-9062.00,Medical Equipment Repairers,7.00,4.59,1.00,1.96,1.00,4.80,34.40,22.56,4.91,9.63,4.91,23.59,RCI
49-9063.00,Musical Instrument Repairers and Tuners,6.39,2.64,3.46,1.58,1.00,3.54,34.34,14.19,18.59,8.49,5.37,19.02,RCA
49-9064.00,Watch and Clock Repairers,6.54,1.98,1.34,1.41,1.13,4.44,38.84,11.76,7.96,8.37,6.71,26.37,RCI
49-9071.00,"Maintenance and Repair Workers, General",7.00,2.53,1.20,1.75,1.53,4.17,38.50,13.92,6.60,9.63,8.42,22.94,RCI
49-9081.00,Wind Turbine Service Technicians,7.00,3.60,1.00,1.62,1.77,4.29,36.31,18.67,5.19,8.40,9.18,22.25,RCI
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",6.08,1.81,1.00,1.22,1.89,5.70,34.35,10.23,5.65,6.89,10.68,32.20,RCE
49-9092.00,Commercial Divers,7.00,3.60,1.35,1.10,1.66,3.10,39.30,20.21,7.58,6.18,9.32,17.41,RIC
49-9094.00,Locksmiths and Safe Repairers,6.09,2.11,1.00,1.57,1.42,5.00,35.43,12.27,5.82,9.13,8.26,29.09,RCI
49-9095.00,Manufactured Building and Mobile Home Installers,6.83,1.90,1.52,1.71,1.17,3.90,40.11,11.16,8.93,10.04,6.87,22.90,RCI
49-9096.00,Riggers,7.00,2.37,1.41,1.02,1.95,3.64,40.25,13.63,8.11,5.87,11.21,20.93,RCI
49-9097.00,Signal and Track Switch Repairers,6.49,2.64,1.00,1.19,1.01,4.46,38.65,15.72,5.96,7.09,6.02,26.56,RCI
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",6.99,1.97,1.10,1.82,1.63,4.04,39.83,11.23,6.27,10.37,9.29,23.02,RCI
49-9099.01,Geothermal Technicians,6.38,3.44,1.00,1.68,1.78,4.99,33.11,17.85,5.19,8.72,9.24,25.90,RCI
51-1011.00,First-Line Supervisors of Production and Operating Workers,4.30,1.58,1.00,2.87,6.30,5.05,20.38,7.49,4.74,13.60,29.86,23.93,ECR
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",7.00,2.66,1.74,1.00,1.37,3.82,39.80,15.12,9.89,5.69,7.79,21.72,RCI
51-2021.00,"Coil Winders, Tapers, and Finishers",6.54,2.28,1.00,1.12,1.40,4.17,39.61,13.81,6.06,6.78,8.48,25.26,RCI
51-2022.00,Electrical and Electronic Equipment Assemblers,7.00,3.26,1.70,1.21,1.00,3.96,38.61,17.98,9.38,6.67,5.52,21.84,RCI
51-2023.00,Electromechanical Equipment Assemblers,7.00,3.35,1.41,1.06,1.00,4.98,37.23,17.82,7.50,5.64,5.32,26.49,RCI
51-2031.00,Engine and Other Machine Assemblers,7.00,2.69,1.23,1.00,1.07,4.39,40.28,15.48,7.08,5.75,6.16,25.26,RCI
51-2041.00,Structural Metal Fabricators and Fitters,7.00,2.60,1.73,1.00,1.12,3.91,40.32,14.98,9.97,5.76,6.45,22.52,RCI
51-2051.00,Fiberglass Laminators and Fabricators,6.74,2.02,2.22,1.00,1.16,3.49,40.53,12.15,13.35,6.01,6.98,20.99,RCA
51-2061.00,Timing Device Assemblers and Adjusters,6.74,2.12,1.19,1.00,1.14,4.61,40.12,12.62,7.08,5.95,6.79,27.44,RCI
51-2092.00,Team Assemblers,5.37,1.43,1.60,2.42,3.93,4.58,27.78,7.40,8.28,12.52,20.33,23.69,RCE
51-3011.00,Bakers,6.29,1.66,2.39,1.73,2.10,4.20,34.24,9.04,13.01,9.42,11.43,22.86,RCA
51-3021.00,Butchers and Meat Cutters,6.26,1.41,1.78,1.89,2.78,3.92,34.70,7.82,9.87,10.48,15.41,21.73,RCE
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",7.00,1.77,1.00,1.37,1.42,3.92,42.48,10.74,6.07,8.31,8.62,23.79,RCI
51-3023.00,Slaughterers and Meat Packers,6.62,2.24,1.31,1.67,2.12,3.53,37.85,12.81,7.49,9.55,12.12,20.18,RCI
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",6.86,1.60,1.11,1.26,1.83,4.16,40.78,9.51,6.60,7.49,10.88,24.73,RCE
51-3092.00,Food Batchmakers,6.09,2.11,1.91,1.50,2.62,4.65,32.26,11.18,10.12,7.94,13.88,24.63,RCE
51-3093.00,Food Cooking Machine Operators and Tenders,6.82,1.98,1.15,1.34,1.68,4.67,38.66,11.22,6.52,7.60,9.52,26.47,RCI
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",6.70,2.23,1.43,1.08,1.00,4.31,40.00,13.31,8.54,6.45,5.97,25.73,RCI
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",6.74,2.62,1.03,1.00,1.19,4.39,39.72,15.44,6.07,5.89,7.01,25.87,RCI
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",6.76,1.67,1.01,1.01,1.00,3.96,43.87,10.84,6.55,6.55,6.49,25.70,RCI
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",6.86,2.22,1.06,1.00,1.00,4.30,41.73,13.50,6.45,6.08,6.08,26.16,RCI
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",7.00,2.75,1.00,1.00,1.00,4.27,41.13,16.16,5.88,5.88,5.88,25.09,RCI
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",7.00,2.14,1.18,1.00,1.00,3.91,43.13,13.19,7.27,6.16,6.16,24.09,RCI
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",7.00,2.12,1.00,1.00,1.00,4.34,42.53,12.88,6.08,6.08,6.08,26.37,RCI
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",7.00,2.41,1.19,1.00,1.00,4.38,41.22,14.19,7.01,5.89,5.89,25.80,RCI
51-4041.00,Machinists,7.00,3.70,1.95,1.16,1.21,4.40,36.05,19.05,10.04,5.97,6.23,22.66,RCI
51-4051.00,Metal-Refining Furnace Operators and Tenders,6.88,2.75,1.05,1.01,1.00,3.97,41.30,16.51,6.30,6.06,6.00,23.83,RCI
51-4052.00,"Pourers and Casters, Metal",7.00,2.45,1.14,1.05,1.00,3.76,42.68,14.94,6.95,6.40,6.10,22.93,RCI
51-4061.00,"Model Makers, Metal and Plastic",6.86,2.91,2.66,1.05,1.00,4.03,37.06,15.72,14.37,5.67,5.40,21.77,RCI
51-4062.00,"Patternmakers, Metal and Plastic",6.21,1.73,3.37,1.00,1.00,4.21,35.45,9.87,19.24,5.71,5.71,24.03,RCA
51-4071.00,Foundry Mold and Coremakers,6.82,2.27,2.14,1.05,1.00,3.50,40.64,13.53,12.75,6.26,5.96,20.86,RCI
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",6.97,2.28,1.35,1.08,1.08,4.28,40.90,13.38,7.92,6.34,6.34,25.12,RCI
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",7.00,2.27,1.00,1.08,1.00,4.59,41.32,13.40,5.90,6.38,5.90,27.10,RCI
51-4111.00,Tool and Die Makers,6.94,2.98,1.90,1.00,1.00,4.19,38.53,16.55,10.55,5.55,5.55,23.26,RCI
51-4121.00,"Welders, Cutters, Solderers, and Brazers",7.00,2.08,1.40,1.08,1.53,3.65,41.82,12.43,8.36,6.45,9.14,21.80,RCI
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",7.00,2.02,1.29,1.13,1.50,3.90,41.57,12.00,7.66,6.71,8.91,23.16,RCI
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",6.82,2.20,1.00,1.57,1.00,4.07,40.94,13.21,6.00,9.42,6.00,24.43,RCI
51-4192.00,"Layout Workers, Metal and Plastic",6.48,2.83,2.88,1.02,1.00,3.89,35.80,15.64,15.91,5.64,5.52,21.49,RCA
51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",7.00,2.23,1.41,1.00,1.00,4.10,41.82,13.32,8.42,5.97,5.97,24.49,RCI
51-4194.00,"Tool Grinders, Filers, and Sharpeners",7.00,2.02,1.25,1.00,1.00,4.15,42.63,12.30,7.61,6.09,6.09,25.27,RCI
