soc_code,title,r,i,a,s,e,c,r_pct,i_pct,a_pct,s_pct,e_pct,c_pct,holland_code
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,5.14,2.26,1.00,3.72,6.15,4.66,22.42,9.86,4.36,16.22,26.82,20.32,ERC
33-1091.00,First-Line Supervisors of Security Workers,4.38,1.82,1.00,3.57,5.95,5.10,20.07,8.34,4.58,16.36,27.27,23.37,ECR
33-2011.00,Firefighters,6.49,2.92,1.31,3.39,3.01,3.47,31.52,14.18,6.36,16.46,14.62,16.85,RCS
33-2021.00,Fire Inspectors and Investigators,5.49,4.33,1.02,2.59,3.32,5.18,25.03,19.74,4.65,11.81,15.14,23.62,RCI
33-2022.00,Forest Fire Inspectors and Prevention Specialists,6.35,3.56,1.11,3.18,3.41,4.57,28.63,16.05,5.00,14.34,15.37,20.60,RCI
33-3011.00,Bailiffs,4.79,2.16,1.00,3.28,4.00,4.48,24.30,10.96,5.07,16.64,20.29,22.73,RCE
33-3012.00,Correctional Officers and Jailers,5.33,1.69,1.05,3.86,3.16,4.81,26.78,8.49,5.28,19.40,15.88,24.17,RCS
33-3021.00,Detectives and Criminal Investigators,4.18,4.90,1.20,2.73,4.04,4.83,19.10,22.39,5.48,12.48,18.46,22.07,ICR
33-3021.02,Police Identification and Records Officers,4.83,3.68,1.58,1.97,2.93,5.64,23.41,17.84,7.66,9.55,14.20,27.34,CRI
33-3021.06,Intelligence Analysts,2.33,5.77,2.11,1.91,3.84,5.37,10.92,27.05,9.89,8.95,18.00,25.18,ICE
33-3031.00,Fish and Game Wardens,6.40,3.91,1.00,2.38,3.02,4.24,30.55,18.66,4.77,11.36,14.42,20.24,RCI
33-3041.00,Parking Enforcement Workers,6.37,1.43,1.00,2.61,3.25,5.11,32.22,7.23,5.06,13.20,16.44,25.85,RCE
33-3051.00,Police and Sheriff's Patrol Officers,5.36,2.76,1.07,3.45,4.08,4.35,25.44,13.10,5.08,16.37,19.36,20.65,RCE
33-3051.04,Customs and Border Protection Officers,3.39,2.64,1.00,2.60,4.29,5.27,17.67,13.76,5.21,13.55,22.36,27.46,CER
33-3052.00,Transit and Railroad Police,6.17,2.28,1.00,2.51,3.21,4.94,30.68,11.34,4.97,12.48,15.96,24.56,RCE
33-9011.00,Animal Control Workers,5.93,3.59,1.00,2.63,2.17,3.89,30.87,18.69,5.21,13.69,11.30,20.25,RCI
33-9021.00,Private Detectives and Investigators,2.39,3.90,1.42,2.87,4.07,5.45,11.89,19.40,7.06,14.28,20.25,27.11,CEI
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,4.14,2.17,1.00,2.15,4.78,5.62,20.85,10.93,5.04,10.83,24.07,28.30,CER
33-9032.00,Security Guards,6.41,2.29,1.00,2.64,2.88,4.76,32.08,11.46,5.01,13.21,14.41,23.82,RCE
33-9091.00,Crossing Guards and Flaggers,5.86,1.65,1.11,3.08,3.00,3.62,31.99,9.01,6.06,16.81,16.38,19.76,RCS
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",6.27,2.37,1.00,4.24,2.88,3.44,31.04,11.73,4.95,20.99,14.26,17.03,RSC
33-9093.00,Transportation Security Screeners,5.21,2.01,1.00,2.45,2.61,5.51,27.73,10.70,5.32,13.04,13.89,29.32,CRE
33-9094.00,School Bus Monitors,3.43,1.51,1.74,5.25,1.95,4.76,18.40,8.10,9.33,28.17,10.46,25.54,SCR
33-9099.02,Retail Loss Prevention Specialists,3.90,3.44,1.00,2.71,4.77,5.67,18.15,16.01,4.65,12.61,22.20,26.38,CER
35-1011.00,Chefs and Head Cooks,4.84,1.68,2.72,2.95,5.13,4.35,22.34,7.75,12.55,13.61,23.67,20.07,ERC
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,4.60,1.38,1.25,3.37,6.36,4.72,21.22,6.37,5.77,15.54,29.34,21.77,ECR
35-2011.00,"Cooks, Fast Food",6.33,1.38,1.85,2.42,3.36,4.32,32.20,7.02,9.41,12.31,17.09,21.97,RCE
35-2012.00,"Cooks, Institution and Cafeteria",5.90,1.83,2.01,3.17,3.16,4.35,28.89,8.96,9.84,15.52,15.48,21.30,RCS
35-2013.00,"Cooks, Private Household",4.98,1.40,3.77,3.78,3.55,3.71,23.50,6.61,17.79,17.84,16.75,17.51,RSA
35-2014.00,"Cooks, Restaurant",5.63,1.56,2.71,2.88,3.69,3.80,27.78,7.70,13.37,14.21,18.20,18.75,RCE
35-2015.00,"Cooks, Short Order",6.13,1.00,2.27,3.19,3.68,4.37,29.70,4.84,11.00,15.46,17.83,21.17,RCE
35-2021.00,Food Preparation Workers,6.40,1.35,1.90,2.71,2.23,4.18,34.10,7.19,10.12,14.44,11.88,22.27,RCS
35-3011.00,Bartenders,4.65,1.00,2.30,3.74,3.85,4.53,23.17,4.98,11.46,18.63,19.18,22.57,RCE
35-3023.00,Fast Food and Counter Workers,4.83,1.00,1.45,3.48,3.45,4.96,25.20,5.22,7.56,18.15,18.00,25.87,CRS
35-3023.01,Baristas,5.58,1.07,2.63,3.70,3.24,3.70,28.01,5.37,13.20,18.57,16.27,18.57,RSC
35-3031.00,Waiters and Waitresses,4.12,1.00,1.84,4.72,4.06,4.95,19.91,4.83,8.89,22.81,19.62,23.92,CSR
35-3041.00,"Food Servers, Nonrestaurant",4.84,1.46,2.10,4.23,2.85,3.87,25.01,7.55,10.85,21.86,14.73,20.00,RSC
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,5.63,1.00,1.02,3.66,2.26,4.57,31.04,5.51,5.62,20.18,12.46,25.19,RCS
35-9021.00,Dishwashers,7.00,1.00,1.00,1.83,1.44,4.45,41.87,5.98,5.98,10.94,8.61,26.61,RCS
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",3.19,1.00,1.73,5.24,4.44,4.09,16.20,5.08,8.79,26.61,22.55,20.77,SEC
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,4.14,1.38,1.00,3.63,5.70,5.35,19.53,6.51,4.72,17.12,26.89,25.24,ECR
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",4.55,1.77,1.03,3.01,6.11,5.24,20.96,8.15,4.74,13.86,28.14,24.14,ECR
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",6.73,1.15,1.00,2.11,1.67,4.61,38.97,6.66,5.79,12.22,9.67,26.69,RCS
37-2012.00,Maids and Housekeeping Cleaners,6.08,1.00,1.39,2.49,1.47,4.60,35.70,5.87,8.16,14.62,8.63,27.01,RCS
37-2021.00,Pest Control Workers,6.85,2.94,1.00,1.67,2.21,4.17,36.36,15.61,5.31,8.86,11.73,22.13,RCI
37-3011.00,Landscaping and Groundskeeping Workers,7.00,1.62,1.90,1.45,1.81,3.35,40.86,9.46,11.09,8.46,10.57,19.56,RCA
